Source,Target,airline,country,airline_name
UDI,GRU,2Z,China,Changan Airlines
UDI,GYN,2Z,China,Changan Airlines
UDI,RAO,2Z,China,Changan Airlines
UDI,UBA,2Z,China,Changan Airlines
VDC,GRU,2Z,China,Changan Airlines
VDC,SSA,2Z,China,Changan Airlines
BRL,ORD,3E,United States,Air Choice One
BRL,STL,3E,United States,Air Choice One
DEC,ORD,3E,United States,Air Choice One
DEC,STL,3E,United States,Air Choice One
JBR,STL,3E,United States,Air Choice One
ORD,BRL,3E,United States,Air Choice One
ORD,DEC,3E,United States,Air Choice One
STL,BRL,3E,United States,Air Choice One
STL,DEC,3E,United States,Air Choice One
STL,JBR,3E,United States,Air Choice One
CGA,HYL,3F,Colombia,Fly Colombia ( Interliging Flights )
CGA,KTN,3F,Colombia,Fly Colombia ( Interliging Flights )
HYL,CGA,3F,Colombia,Fly Colombia ( Interliging Flights )
HYL,KTB,3F,Colombia,Fly Colombia ( Interliging Flights )
HYL,KTN,3F,Colombia,Fly Colombia ( Interliging Flights )
KTB,HYL,3F,Colombia,Fly Colombia ( Interliging Flights )
KTB,KTN,3F,Colombia,Fly Colombia ( Interliging Flights )
KTN,CGA,3F,Colombia,Fly Colombia ( Interliging Flights )
KTN,HYL,3F,Colombia,Fly Colombia ( Interliging Flights )
KTN,KTB,3F,Colombia,Fly Colombia ( Interliging Flights )
KTN,MTM,3F,Colombia,Fly Colombia ( Interliging Flights )
MTM,KTN,3F,Colombia,Fly Colombia ( Interliging Flights )
ACC,DKR,3G,Russia,Atlant-Soyuz Airlines
ACC,LOS,3G,Russia,Atlant-Soyuz Airlines
ACC,ROB,3G,Russia,Atlant-Soyuz Airlines
BCN,BJL,3G,Russia,Atlant-Soyuz Airlines
BJL,BCN,3G,Russia,Atlant-Soyuz Airlines
BJL,DKR,3G,Russia,Atlant-Soyuz Airlines
BJL,FNA,3G,Russia,Atlant-Soyuz Airlines
CKY,OXB,3G,Russia,Atlant-Soyuz Airlines
DKR,ACC,3G,Russia,Atlant-Soyuz Airlines
DKR,BJL,3G,Russia,Atlant-Soyuz Airlines
DKR,DLA,3G,Russia,Atlant-Soyuz Airlines
DKR,FNA,3G,Russia,Atlant-Soyuz Airlines
DKR,LOS,3G,Russia,Atlant-Soyuz Airlines
DKR,OXB,3G,Russia,Atlant-Soyuz Airlines
DLA,DKR,3G,Russia,Atlant-Soyuz Airlines
DLA,LOS,3G,Russia,Atlant-Soyuz Airlines
FNA,BJL,3G,Russia,Atlant-Soyuz Airlines
FNA,DKR,3G,Russia,Atlant-Soyuz Airlines
FNA,LGW,3G,Russia,Atlant-Soyuz Airlines
FNA,ROB,3G,Russia,Atlant-Soyuz Airlines
LGW,FNA,3G,Russia,Atlant-Soyuz Airlines
LOS,ACC,3G,Russia,Atlant-Soyuz Airlines
LOS,DKR,3G,Russia,Atlant-Soyuz Airlines
LOS,DLA,3G,Russia,Atlant-Soyuz Airlines
LOS,ROB,3G,Russia,Atlant-Soyuz Airlines
OXB,CKY,3G,Russia,Atlant-Soyuz Airlines
OXB,DKR,3G,Russia,Atlant-Soyuz Airlines
ROB,ACC,3G,Russia,Atlant-Soyuz Airlines
ROB,FNA,3G,Russia,Atlant-Soyuz Airlines
ROB,LOS,3G,Russia,Atlant-Soyuz Airlines
AKV,YIK,3H,NA,NA
AKV,YPX,3H,NA,NA
XGR,YVP,3H,NA,NA
YGL,YGW,3H,NA,NA
YGL,YPX,3H,NA,NA
YGL,YUL,3H,NA,NA
YGW,YGL,3H,NA,NA
YGW,YPH,3H,NA,NA
YGW,YSK,3H,NA,NA
YGW,YUD,3H,NA,NA
YGW,YUL,3H,NA,NA
YGW,YUY,3H,NA,NA
YIK,AKV,3H,NA,NA
YIK,YZG,3H,NA,NA
YKG,YPJ,3H,NA,NA
YKG,YQC,3H,NA,NA
YKG,YVP,3H,NA,NA
YKL,YQB,3H,NA,NA
YKL,YVP,3H,NA,NA
YKL,YWK,3H,NA,NA
YKL,YZV,3H,NA,NA
YPH,YPX,3H,NA,NA
YPH,YUD,3H,NA,NA
YPH,YVP,3H,NA,NA
YPJ,YKG,3H,NA,NA
YPJ,YTQ,3H,NA,NA
