"","name","Specialty_Code","hivpat","preppat","herpespat","syphpat","gonorpat","centdegree","centtrans","countIDconnections","cbetween","cclose","ceigen","lukeherpcount","lukehivcount","lukeprepcount","binaryPrep","AIDSVuCountyLevelHIVNewDiagnosesCases","ZIP","RuralUrbanFactor","X2013EstimatesMSM5YEAR","EVIDU","MARHOMO","HOMOSEX","plancount","prepcoverage","ruralsuburban"
"27584456","27584456","FM",0,0,9,0,0,8,0.6071429,0,31832.34,1.627806e-08,0.00377969,9,0,0,0,1844,90089,1,251521,1.138461538,1.4,2.123076923,247,247,2
"49596358","49596358","FP",1,0,17,0,0,27,0.2307692,0,103783.4,2.23963e-08,0.004156208,17,1,0,0,1844,90017,1,251521,1.138461538,1.4,2.123076923,247,247,2
"42932461","42932461","IM",0,0,4,0,0,4,0.8333333,0,0.3091454,3.690175e-09,7.19304e-05,4,0,0,0,1844,91501,1,251521,1.138461538,1.4,2.123076923,247,247,2
"42857221","42857221","FM",0,0,4,0,0,14,0.2747253,0,74492.08,1.626001e-08,0.003909758,4,0,0,0,1844,90640,1,251521,1.138461538,1.4,2.123076923,247,247,2
"35083026","35083026","FP",0,0,36,0,0,12,0.5606061,0,19831.65,1.626001e-08,0.003913138,36,0,0,0,1844,91723,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10997650","10997650","IM",1,0,13,0,0,9,0.472222222222222,0,48513.8365634472,1.62600074044822e-08,0.00380546953051863,13,1,0,0,1844,91107,1,251521,1.138461538,1.4,2.123076923,247,247,2
"47380668","47380668","FM",0,2,6,0,0,3,0.6666667,0,34.7021,1.626002e-08,0.003839495,1,0,2,2,1844,90274,1,251521,1.138461538,1.4,2.123076923,247,247,2
"47832735","47832735","FM",0,0,30,0,0,38,0.2603129,0,815.5095,1.626006e-08,0.004354224,30,0,0,0,1844,91402,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48886050","48886050","IM",1,0,2,1,0,4,1,0,0,3.171926e-09,6.870704e-05,2,1,0,0,1844,90033,1,251521,1.138461538,1.4,2.123076923,247,247,2
"60228342","60228342","FP",0,0,5,0,0,34,0.4242424,0,3489.245,3.806129e-09,0.0004268215,5,0,0,0,1844,91340,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48908350","48908350","FP",0,0,7,0,0,1,0,0,0,5.055139e-10,1.128098e-06,0,0,0,0,1844,90037,1,251521,1.138461538,1.4,2.123076923,247,247,2
"21177779","21177779","IM",0,0,3,0,0,1,0,0,0,5.055139e-10,1.128098e-06,3,0,0,0,1844,91367,1,251521,1.138461538,1.4,2.123076923,247,247,2
"60005597","60005597","FP",0,0,4,0,0,5,0.9,0,0.03030303,3.195438e-09,0.000106066,4,0,0,0,1844,90806,1,251521,1.138461538,1.4,2.123076923,247,247,2
"49146303","49146303","FP",0,0,16,0,0,29,0.6896552,0,25.12901,1.627809e-08,0.004342978,16,0,0,0,1844,90815,1,251521,1.138461538,1.4,2.123076923,247,247,2
"47591533","47591533","FP",0,0,58,0,0,39,0.3144399,0,27643.64,1.627808e-08,0.00435276,58,0,0,0,353,90720,1,62190,1.461538462,1.538461538,1.884615385,654,654,2
"12506357","12506357","FM",2,0,55,0,0,12,0.348484848484849,0,65.2564582277285,1.63506919964393e-08,0.00391238072381384,55,2,0,0,1844,91403,1,251521,1.138461538,1.4,2.123076923,247,247,2
"47683419","47683419","IM",0,0,3,0,0,34,0.4581105,0,72652.1,1.633257e-08,0.004711379,3,0,0,0,1844,90505,1,251521,1.138461538,1.4,2.123076923,247,247,2
"49741571","49741571","FP",0,0,2,0,0,5,0.6,0,123.36,3.265193e-09,5.330663e-05,2,0,0,0,1844,91605,1,251521,1.138461538,1.4,2.123076923,247,247,2
"49118170","49118170","FP",0,0,8,0,0,4,0.5,0,1.666667,3.087734e-09,2.856536e-05,8,0,0,0,1844,91605,1,251521,1.138461538,1.4,2.123076923,247,247,2
"49236300","49236300","FP",0,0,5,0,0,2,1,0,0,3.087735e-09,2.846001e-05,5,0,0,0,1844,90033,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48340911","48340911","FP",0,0,4,0,0,4,1,0,0,3.088385e-09,2.938985e-05,4,0,0,0,1844,91605,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48404541","48404541","FP",0,0,4,0,0,1,0,0,0,3.087734e-09,1.440043e-05,4,0,0,0,1844,91605,1,251521,1.138461538,1.4,2.123076923,247,247,2
"40279750","40279750","FM",0,0,3,0,0,4,0.6666667,0,29.61983,3.115298e-09,3.069595e-05,3,0,0,0,1844,91343,1,251521,1.138461538,1.4,2.123076923,247,247,2
"38109044","38109044","FP",0,0,3,0,0,1,0,0,0,3.087734e-09,1.440043e-05,3,0,0,0,1844,91371,1,251521,1.138461538,1.4,2.123076923,247,247,2
"12164954","12164954","FM",1,0,5,0,0,5,0.2,0,574,1.96448756538306e-07,2.12456016496938e-05,5,1,0,0,1844,91402,1,251521,1.138461538,1.4,2.123076923,247,247,2
"49254044","49254044","FP",0,1,3,0,0,17,0.3235294,0,420.1486,3.490688e-09,0.0001600834,3,0,1,1,1844,91331,1,251521,1.138461538,1.4,2.123076923,247,247,2
"19131754","19131754","FM",0,0,2,0,0,6,0.9333333,0,1.207199,1.626e-08,0.003812041,2,0,0,0,1844,90650,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48304002","48304002","FM",0,0,1,0,0,7,0.2857143,0,78.77764,3.093602e-09,8.571383e-05,1,0,0,0,1844,90240,1,251521,1.138461538,1.4,2.123076923,247,247,2
"19850009","19850009","FP",182,1,22,0,0,14,0.4395604,4,399010.1,1.63507e-08,0.003752635,22,182,1,1,1844,90502,1,251521,1.138461538,1.4,2.123076923,247,247,2
"12431827","12431827","FM",0,0,74,0,0,12,0.227272727272727,0,57.3968847638958,1.62780645023189e-08,0.00390184167493868,74,0,0,0,1844,91505,1,251521,1.138461538,1.4,2.123076923,247,247,2
"14809942","14809942","IM",0,0,47,0,0,11,0.5090909,0,41367.13,1.646092e-08,0.003914636,47,0,0,0,1844,90011,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48843012","48843012","FM",1,1,18,0,0,24,0.4963768,0,90977.3,1.640564e-08,0.003998683,8,1,1,1,1844,90245,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48015472","48015472","FP",1,2,12,0,0,28,0.473545,0,45229.92,1.62962e-08,0.004042245,12,1,2,2,1844,91325,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48648591","48648591","FP",0,0,28,0,0,49,0.2916667,0,21694.56,1.626003e-08,0.004445803,28,0,0,0,1844,91740,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48730860","48730860","FP",0,2,34,0,0,64,0.6840278,0,761.4491,5.835138e-09,0.004258322,34,0,2,2,1844,90505,1,251521,1.138461538,1.4,2.123076923,247,247,2
"12423198","12423198","FM",1,1,62,0,0,4,0.5,0,4.71999389499389,3.07607149728977e-09,5.8742674536574e-05,62,1,1,1,1844,91748,1,251521,1.138461538,1.4,2.123076923,247,247,2
"49741198","49741198","FP",0,0,13,0,0,16,0.25,0,24286.21,1.626002e-08,0.003934007,13,0,0,0,1844,91792,1,251521,1.138461538,1.4,2.123076923,247,247,2
"47696461","47696461","IM",0,0,4,0,0,11,0.4363636,0,34.43132,3.194042e-09,0.0001407316,4,0,0,0,1844,90033,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48907244","48907244","FP",0,0,20,0,0,9,0.2777778,0,759.1406,3.257944e-09,0.0002222938,20,0,0,0,1844,90505,1,251521,1.138461538,1.4,2.123076923,247,247,2
"49769232","49769232","FP",0,0,1,0,0,9,0.8333333,0,1.629378,3.972193e-09,0.0002431981,1,0,0,0,1844,91206,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48793816","48793816","FM",0,0,39,0,0,38,0.2901849,1,63462.96,1.629632e-08,0.004723214,39,0,0,0,1844,91205,1,251521,1.138461538,1.4,2.123076923,247,247,2
"49038660","49038660","FP",0,0,19,0,0,69,0.2787724,0,22742.46,1.633269e-08,0.005016169,19,0,0,0,1844,91208,1,251521,1.138461538,1.4,2.123076923,247,247,2
"11274007","11274007","FM",0,0,19,0,0,5,0.5,0,5.79343322073723,1.62600026455024e-08,0.00379550346376571,19,0,0,0,1844,91324,1,251521,1.138461538,1.4,2.123076923,247,247,2
"34325894","34325894","FM",0,0,38,0,0,28,0.2936508,0,91768.71,1.627808e-08,0.004153816,38,0,0,0,1844,91307,1,251521,1.138461538,1.4,2.123076923,247,247,2
"11029767","11029767","FM",0,2,17,0,0,2,0,0,63427.9999999999,1.62599970933629e-08,0.00371931917406925,17,0,2,2,1844,90025,1,251521,1.138461538,1.4,2.123076923,247,247,2
"38308809","38308809","FM",0,0,77,0,0,5,0.3,0,21129.86,1.626e-08,0.003733361,77,0,0,0,1844,91356,1,251521,1.138461538,1.4,2.123076923,247,247,2
