"","from","to","weight"
"760","10750785","12412620",8
"761","10750785","21177779",3
"762","10750785","27489234",3
"763","10750793","40269295",3
"764","10750820","10851552",3
"765","10750848","46871409",49
"766","10750848","60005597",3
"767","10750848","49146303",33
"768","10750848","47683748",5
"769","10750848","29485364",5
"770","10750848","46133457",6
"771","10750848","12197145",3
"772","10750848","36878050",4
"773","10750848","31777002",9
"774","10750848","48724270",6
"775","10750848","46348037",8
"776","10750848","10758892",3
"777","10750848","46873379",5
"778","10750848","42905350",3
"779","10750848","19610494",3
"780","10750849","47591533",16
"781","10750849","14685946",8
"782","10750849","12197856",8
"783","10750849","27585211",5
"784","10750849","44682137",10
"785","10750849","46013642",11
"786","10750849","14850088",6
"787","10750849","12244038",6
"788","10750849","44101930",7
"789","10750849","12410243",3
"790","10750858","12506357",7
"791","10752331","46887467",17
"792","10752331","46898345",17
"793","10752331","46872677",4
"794","10752331","47683419",4
"795","10752331","47380057",3
"796","10752706","10759773",3
"797","10752706","10764130",3
"798","10752708","44877088",4
"799","10752760","14645665",9
"800","10752760","49741571",7
"801","10752760","47199507",9
"802","10752760","49118170",7
"803","10752760","49236300",6
"804","10752760","48340911",6
"805","10752760","10765281",10
"806","10752760","48337156",5
"807","10752760","10874321",17
"808","10752760","48207592",12
"809","10752760","19840840",5
"810","10752760","47696056",5
"811","10752760","48404541",3
"812","10752760","48335686",6
"813","10752760","37510116",6
"814","10752760","40279750",3
"815","10752760","27584530",3
"816","10752760","38109044",3
"817","10753005","14833197",36
"818","10753005","49248256",6
"819","10753005","40812222",6
"820","10753005","12236910",3
"821","10753005","10763867",7
"822","10753005","37712694",5
"823","10753005","47782938",14
"824","10753005","12164954",3
"825","10753005","12164891",10
"826","10753005","48135870",9
"827","10753005","49254044",7
"828","10753005","48020557",5
"829","10753005","38232698",3
"830","10753005","26054865",3
"831","10753005","33585172",3
"832","10753105","19131754",14
"833","10753105","10948341",3
"834","10753105","11209459",4
"835","10753105","48304002",3
"836","10753195","11211523",33
"837","10753195","19850009",27
"838","10753195","14685320",12
"839","10754435","12431827",4
"840","10754435","39746356",6
"841","10754435","12162953",5
"842","10754435","14404961",5
"843","10754610","14809942",80
"844","10754610","11170043",25
"845","10754610","42059084",4
"846","10754610","48843012",4
"847","10754704","33222806",10
"848","10754704","36749641",5
"849","10755065","10987367",4
"850","10755065","11244353",3
"851","10755493","11101314",39
"852","10755493","48015472",31
"853","10755493","22372192",15
"854","10755493","11182220",5
"855","10755493","11175600",21
"856","10755493","12388360",9
"857","10755493","31037096",3
"858","10755608","10829079",3
"859","10755608","27017564",16
"860","10755608","48648591",3
"861","10755920","10918350",39
"862","10755920","14849966",12
"863","10755920","48730860",11
"864","10755920","12073078",6
"865","10756078","12423198",3
"866","10756078","49741198",3
"867","10756272","47696461",3
"868","10756272","47787757",3
"869","10756387","12113809",3
"870","10756387","11139882",5
"871","10756756","48907244",26
"872","10756756","48793352",14
"873","10756756","27630064",7
"874","10756786","12144812",19
"875","10756786","14811427",74
"876","10756786","47867059",3
"877","10756786","11343943",14
"878","10756786","10934152",10
"879","10756786","40296342",4
"880","10756786","49769232",3
"881","10756786","48793816",4
"882","10756786","12197961",5
"883","10756786","49038660",3
"884","10756786","48761401",20
"885","10757128","11144775",3
"886","10757128","14809813",4
"887","10757128","23028632",3
"888","10757128","20203436",4
"889","10757974","11274007",11
"890","10757974","34325894",3
"891","10757974","12073192",22
"892","10757974","39746265",21
"893","10757974","21131491",5
"894","10757974","31777057",3
"895","10757974","37712694",3
"896","10757974","10966596",3
"897","10757974","46824205",3
"898","10758058","11029767",4
"899","10758178","12285395",3
"900","10758271","38308809",4
"901","10758271","10768344",5
"902","10758271","44662444",6
"903","10758336","49260091",3
"904","10758427","34325546",3
"905","10758427","10758479",9
"906","10758448","31016353",5
"907","10758451","10784358",6
"908","10758451","11160780",4
"909","10758451","10873690",3
"910","10758451","13025444",3
"911","10758451","11343374",3
"912","10758451","40397691",3
"913","10758451","10967321",5
"914","10758451","10807938",3
"915","10758472","11324207",3
"916","10758479","12292115",3
"917","10758626","12164041",3
"918","10758642","30008320",34
"919","10758642","36957437",10
"920","10758642","44287790",23
"921","10758669","12412867",16
"922","10758669","48390225",21
"923","10758669","12163751",70
"924","10758669","14809005",8
"925","10758669","12163189",5
"926","10758669","48857095",3
"927","10758669","22336076",11
"928","10758669","12077001",3
"929","10758676","37508670",8
"930","10758676","47654108",4
"931","10758676","48830879",3
"932","10758676","39746395",3
"933","10758676","43537849",4
"934","10758676","10758677",9
"935","10758677","37508670",7
"936","10758677","48830879",3
"937","10758699","40712326",5
"938","10758759","10912571",4
"939","10758759","11163871",9
"940","10758759","11141618",8
"941","10758759","22351969",3
"942","10758759","11157166",3
"943","10758759","34321299",5
"944","10758759","31037986",3
"945","10758759","10764888",3
"946","10758760","45056644",3
"947","10758760","12244117",5
"948","10758760","10765369",3
"949","10758766","23028433",38
"950","10758766","40182081",5
"951","10758766","12538166",3
"952","10758766","29387699",3
"953","10758778","10937885",12
"954","10758778","48414763",3
"955","10758778","12285369",4
"956","10758778","43843464",3
"957","10758778","12237135",3
"958","10758778","24321612",7
"959","10758778","44667492",3
"960","10758778","38464198",3
"961","10758858","21135066",3
"962","10758862","11273328",3
"963","10758862","12073082",7
"964","10758862","46439601",5
"965","10758862","38335369",3
"966","10758875","12164144",3
"967","10758875","12285127",3
"968","10758875","45928500",3
"969","10758875","13031354",3
"970","10758875","45923366",4
"971","10758875","10997088",4
"972","10758875","12509959",6
"973","10758875","42059990",3
"974","10758892","12285127",3
"975","10758892","36879950",3
"976","10758892","13031354",5
"977","10758892","44102764",4
"978","10758892","10877518",6
"979","10758892","13036211",4
"980","10758892","46133457",3
"981","10758892","46036173",4
"982","10758892","47211164",3
"983","10758892","44310346",3
"984","10758917","11023503",15
"985","10758917","11005320",6
"986","10758917","12166878",4
"987","10758917","10921766",5
"988","10758917","11316083",3
"989","10758939","44396307",3
"990","10758939","45925696",3
"991","10758997","10830834",37
"992","10758997","19808888",4
"993","10758997","33555715",8
"994","10758997","46008782",20
"995","10758997","12198206",19
"996","10758997","48535972",8
"997","10758997","43534531",6
"998","10758997","46347478",9
"999","10758997","49605891",5
"1000","10758997","12430933",17
"1001","10758997","41751777",5
"1002","10758997","19798027",3
"1003","10758997","11005622",3
"1004","10758997","31006189",7
"1005","10758997","47393154",4
"1006","10758997","48365711",6
"1007","10758997","22472745",9
"1008","10758997","33534666",5
"1009","10758997","31005931",3
"1010","10758997","48161357",3
"1011","10758997","12430940",3
"1012","10758997","38337814",9
"1013","10758997","13036282",4
"1014","10758997","43538374",3
"1015","10758997","10819144",4
"1016","10758997","46008655",3
"1017","10758997","46470519",3
"1018","10759024","10802024",35
"1019","10759024","14853363",9
"1020","10759024","12164048",5
"1021","10759024","14404459",5
"1022","10759061","10762062",18
"1023","10759061","14853363",3
"1024","10759061","18906051",3
"1025","10759061","14852215",4
"1026","10759067","10921607",8
"1027","10759067","10930457",6
"1028","10759067","23510854",5
"1029","10759067","12162657",3
"1030","10759067","47808924",3
"1031","10759068","31006508",3
"1032","10759068","14853406",4
"1033","10759068","10759246",6
"1034","10759103","11273790",16
"1035","10759103","46893729",33
"1036","10759103","40268014",7
