BvD,name,ISO,NACE,revenue,employees,city,ROE,ind.NAICS,logrev
CN42672PC,ZHANGJIAGANG TIANLE RUBBER & PLASTIC TECHNOLOGY COMPANY LIMITED,CN,2932,12695.7205,186,ZHANGJIAGANG,18.012,29,4.103657353
CN42079PC,JIANGSU BISONG LIGHTING COMPANY LIMITED,CN,2740,12693.71678,193,HUILONG,-358.045,27,4.103588804
CN9376258159,"SHENZHEN INSIDE LUCKY NUMBER TEA BUSINESS CO., LTD.",CN,NA,12686.12902,31,SHENZHEN,NA,NA,4.103329124
CN43762PC,ZHUHAI SUNDUST APPAREL COMPANY LIMITED,CN,1330,12683.20481,258,ZHUHAI,0.712,13,4.103229006
CN46644PC,SUZHOU QINGRUI EDUCATION TECHNOLOGY COMPANY LIMITED,CN,5829,12681.06114,205,SUZHOU,33.306,58,4.103155597
CN45135PC,DONGGUAN VILLO ENVIRONMENTAL PROTECTION INC.,CN,2899,12679.70269,151,DONGGUAN,25.665,28,4.103109071
CN46271PC,ANHUI RUNSHENG CATTLE INDUSTRY COMPANY LIMITED,CN,142,12679.0647,49,BOZHOU,22.183,1,4.103087218
CN52252PC,ZHEJIANG HUALI INTELLIGENT EQUIPMENT COMPANY LIMITED,CN,3299,12670.96024,133,HUZHOU,28.143,32,4.102809528
CN41814PC,QINHUANGDAO BOOSTSOLAR PHOTOVOLTAIC EQUIPMENT COMPANY LIMITED,CN,3299,12666.66655,157,QINHUANGDAO,1.144,32,4.102662338
CN48679PC,ZHEJIANG CHOOSITON KITCHEN APPLIANCE COMPANY LIMITED,CN,4754,12666.13199,258,XIASHI,-112.802,47,4.10264401
CN41366PC,WUHAN XINZHONGDE PLASTIC MACHINERY COMPANY LIMITED,CN,2899,12659.93977,106,WUHAN,22.485,28,4.102431639
CN42970PC,JIANGSU GAOHE INTELLIGENT EQUIPMENT  COMPANY LIMITED,CN,2932,12659.12776,137,YANCHENG,-31.688,29,4.102403783
CN52763PC,"SHENZHEN GAOFA GAS CO., LTD",CN,2011,12658.22229,133,SHENZHEN,40.061,20,4.102372718
CN9398529070,"KLF HOME FURNISHING CO., LTD.",CN,3109,12650.19364,485,HEFEI,11.758,31,4.102097173
